state, count
Alabama, 71
Alaska, 9
Arizona, 33
Arkansas, 59
California, 344
Colorado, 53
Connecticut, 35
Delaware, 6
Florida, 256
Georgia, 119
Hawaii, 24
Idaho, 20
Illinois, 221
Indiana, 103
Iowa, 63
Kansas, 60
Kentucky, 78
Louisiana, 124
Maine, 13
Maryland, 47
Massachusetts, 48
Michigan, 67
Minnesota, 64
Mississippi, 54
Missouri, 62
Montana, 12
Nebraska, 31
Nevada, 52
New Hampshire, 3
New Jersey, 92
New Mexico, 45
New York, 203
North Carolina, 152
North Dakota, 37
Ohio, 171
Oklahoma, 49
Oregon, 37
Pennsylvania, 168
Rhode Island, 5
South Carolina, 25
South Dakota, 16
Tennessee, 99
Texas, 424
Utah, 34
Vermont, 7
Virginia, 16
Washington, 68
West Virginia, 43
Wisconsin, 75
Wyoming, 20
